,DISTB_PD,ENTRPS,브랜드명,제품명,이미지링크,PRDUCT,REGIST_DT,STTEMNT_NO,SUNGSANG,index
168,제조일로부터24개월,코스맥스엔비티(주),종근당건강,,http://img.danawa.com/prod_img/500000/989/626/img/3626989_1.jpg?shrink=160:160&_v=20181106160049,2090 파워루테인,20150522,2.01E+13,"이미, 이취가 없고 고유의 향미가 있는 주황색의 내용물을 함유한 흑갈색의 연질캡슐",169
188,제조일로부터 24개월까지,(주)한국씨엔에스팜,한미헬스케어,,http://img.danawa.com/prod_img/500000/987/624/img/7624987_1.jpg?shrink=160:160&_v=20190403174130,365 눈 건강 루테인,20160902,2.00E+14,적색의 내용물을 함유한 검정색의 연질캡슐,189
994,제조일로부터 24개월까지,주식회사한미양행,중외제약,,http://img.danawa.com/prod_img/500000/327/296/img/6296327_1.jpg?shrink=160:160&_v=20190327101256,JW중외파워루테인A,20150522,2.00E+13,"적갈색의 내용물을 함유한 적갈색의 연질캡슐제품으로 이미, 이취가 없다.",995
1612,제조일로부터 24개월,(주)알피바이오,대웅생명과학,대웅생명과학 가네굿 프리미엄 90캡슐,http://img.danawa.com/prod_img/500000/531/070/img/5070531_1.jpg?shrink=500:500&_v=20180327120815,가네굿프리미엄,20150522,2.00E+13,갈색의 내용물을 함유한 장방형의 연질캡슐,1613
1617,제조일로부터 2년.,코스맥스바이오(주),대웅생명과학,대웅생명과학 가네파워 30캡슐,http://img.danawa.com/prod_img/500000/721/559/img/6559721_1.jpg?shrink=500:500&_v=20181031170918,가네파워,20170928,2.00E+14,노란갈색의 내용물을 함유한 어두운 갈색의 연질캡슐.,1618
1783,제조일로부터 24개월,(주)네이처텍,소버스,소버스 간건강 밀크씨슬 로사빈 60정?,http://img.danawa.com/prod_img/500000/204/561/img/7561204_1.jpg?shrink=500:500&_v=20190327160251,간건강 : 밀크씨슬 로사빈 (Liver Health : Milk Thistle Rosavin),20180723,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 밝은 회황색의 정제",1784
1785,제조일로부터24개월,코스맥스엔비티(주),중외제약,중외제약 간건강 밀크씨슬 30정?,http://img.danawa.com/prod_img/500000/824/124/img/3124824_1.jpg?shrink=500:500&_v=20180323175334,간건강 밀크씨슬,20151124,2.01E+13,"이미, 이취가 없고 고유의 향미가 있는 연한 황갈색의 내용물을 함유한 적갈색의 연질캡슐",1786
1792,제조일로부터 24개월,동서바이오팜(주),,종근당 간건강 슈퍼케어 30정,http://img.danawa.com/prod_img/500000/534/606/img/8606534_1.jpg?shrink=500:500&_v=20190711165028,간건강 슈퍼케어,20150522,2.00E+13,"이미 이취가 없고, 고유의 향미가 있는 미황색의 제피정제",1793
1831,제조일로부터 24개월까지,(주)한풍네이처팜,일양약품,일양약품 일양 간에 좋은 밀크씨슬 90캡슐,http://img.danawa.com/prod_img/500000/147/474/img/9474147_1.jpg?shrink=500:500&_v=20190910141914,간에 좋은 밀크씨슬,20180726,2.01E+13,이미·이취가 없는 고유의 향미가 있는 회황색 제피정제,1832
1832,제조일로부터 24개월,(주)비오팜,녹십자웰빙,녹십자웰빙 간에 좋은 밀크씨슬 골드 90정?,http://img.danawa.com/prod_img/500000/424/656/img/3656424_1.jpg?shrink=500:500&_v=20180529105450,간에 좋은 밀크씨슬 골드,20161011,2.00E+13,"이미, 이취가 없고 고유의 향미가 있는 황색의 제피정제",1833
1840,제조일로부터 24개월,주식회사한미양행,네이처가든,네이처가든 뉴트리가든 간에는 역시 밀크시슬파워 30정,http://img.danawa.com/prod_img/500000/848/211/img/7211848_1.jpg?shrink=500:500&_v=20191002103249,간에는 역시 밀크시슬파워,20170512,2.00E+13,"이미, 이취가 없으며 고유의 향미를 지닌 미황색의 장방형 제피정제",1841
