,DISTB_PD,ENTRPS,PRDUCT,브랜드명,제품명,이미지링크,REGIST_DT,STTEMNT_NO,SUNGSANG,index
0,제조일로부터 2년,코스맥스바이오(주),#NAME?,,,,20150624,2.00E+14,흑갈색의 내용물을 함유한 투명한 연질캡슐.,1
1,제조일로부터 24개월,주식회사 성윤 에프엔지(F&G),6년근 고려홍삼정 PREMIUM,,,,20150522,2.01E+11,암갈색의 액상으로 고유의 색택과 향미를 가지며 이미·이취가 없어야 한다.,2
2,24개월,(주)바이오그랜드,Brain Factor-7 Silk Fibroin Peptide(BF-7)(전량 수출용),,,,20180227,2.01E+12,엷은 갈색의 분말,3
3,24개월,에프엔바이오(주),"CosmeHeal HEALTHY WHITE EfferGlow(수출용)？(코스메힐 헬씨 화이트, 에퍼글로우？)",,,,20190905,2.00E+13,"이미,이취가 없고 고유의 향미가 있는 백색의   원형정제",4
4,2년,에프엔바이오(주),KA-NE PLUS ZINC (수출용),,,,20170501,2.00E+13,"이미,이취가 없고 고유의 향미가 있는 원형정제",5
5,36개월,(주)그린바이오,Puffing red ginseng extract powder-J,,,,20150522,2.00E+12,황갈색의 입자상 분말,6
6,제조일로부터  24개월,(주)네추럴에프앤피,김화란 클로렐라,,,,20150522,2.00E+13,탁한 연두색의 분말,7
7,24개월까지,주식회사한미양행,네이처드림 혈행에 좋은 알티지 오메가3,,,,20190528,2.00E+14,"이미, 이취가 없고 고유의 향미를 지닌 연노랑색의 내용물을 함유한 투명색 연질캡슐.",8
8,제조일로부터 2년,주식회사 노바렉스,엽산400,,,,20150522,2.00E+13,엷은 미백색의 장방형 정제,9
9,제조일로부터 2년,주식회사 노바렉스,오메코사민,,,,20150522,2.00E+13,미황색의 내용물이든 갈색 피막의 연질캡슐,10
10,24개월,에프엔바이오(주),이지이에프비타민C(EGF VITAMIN C),,,,20150522,2.00E+13,미황색의 분말을 함유한 미황색의 경질캅셀 제품,11
11,18개월,(주)중원바이오팜,중원프로바이오틱스 유산균,,,,20170622,2.02E+11,파인애플 고유향미가 있으며 연한 회백색을 띤 분말임,12
12,제조일로부터24개월,(주)네추럴에프앤피 음성공장,파워 오메가-3,,,,20150522,2.01E+12,미황색의 내용물을 함유한 투명의 연질캅셀,13
13,2년,에프엔바이오(주),홍삼파워멀티비타민앤미네랄,,,,20150522,2.00E+12,연갈색의 장방형 정제제품,14
14,제조일로부터 18개월,엠에스바이오텍(주),홍삼프리미엄유산균,,,,20150522,2.00E+13,"고유의 색택을 지니며 이미,이취가 없다.",15
15,제조일부터      2  년,(주)일화,황작 황작고,,,,20171013,2.00E+13,이미와 이취가 없고 고유의 향미가 있는 흑갈색의 액상,16
16,제조일로부터 2년,콜마비앤에이치(주)푸디팜사업부문,힘내,,,,20170324,2.01E+14,연한녹색의 코팅정제,17
17,제조일로부터 24개월,(주)한풍네이처팜,'간'편함을 누리다 밀크씨슬 간 肝,,,,20180105,2.01E+13,"이미, 이취가 없고 고유의 향미가 있는 회황색의 제피정제",18
18,제조일로부터 2년.,코스맥스바이오(주),(fine)파인실엠I,,,,20160519,2.00E+14,미황색의 내용물을 함유한 투명색의 연질캡슐,19
19,제조일로부터 2년.,코스맥스바이오(주),(fine)파인실엠Ⅱ,,,,20160519,2.00E+14,황색의 내용물을 함유한 적갈색의 경질캡슐.,20
20,제조일로부터 24개월,(주)서흥,(구) 눈에좋은 루테인+오메가3,,,,20150522,2.00E+13,적색의 점조성 내용물을 함유한 황색의 연질캡슐제,21
21,제조일로부터 24개월,(주)서흥,(구) 무르핀,,,,20150522,2.00E+13,흐린 황갈색의 제피정제,22
22,제조일부터 24개월,(주)서흥,(구) 팻다운 톡,,,,20160329,2.00E+14,노란 하얀색의 분말,23
23,제조일부터 24개월,(주)서흥,(구)동아비타민C순(純),,,,20160325,2.00E+14,연한 분홍색의 제피정제,24
24,제조일부터 24개월,(주)서흥 오창공장,(구)백수오,,,,20160905,2.01E+12,검은 갈색의 액제,25
25,제조일로부터 18개월,(주)서흥 오창공장,(구)본포뮬러젤리,,,,20150522,2.01E+11,흐린 황갈색의 젤리,26
26,제조일부터 24개월,(주)서흥,(구)츄어블오메가-3,,,,20150522,2.00E+13,주황색 점조성 내용물을 함유한 미황색의 연질캡슐제,27
27,제조일로부터 24개월,(주)서흥,(구)트리플러스,,,,20150522,2.00E+13,황갈색 점조성 내용물을 함유한 암갈색의 장방형 연질캡슐제,28
28,제조일부터 24개월,(주)서흥,(구)프로메가 레볼루션,,,,20160120,2.00E+14,미황색 유상액을 함유한 투명의 장방형 연질캡슐,29
29,제조일로부터 24개월,(주)한국씨엔에스팜,#NAME?,,,,20170919,2.00E+14,1) 적색의 내용물을 함유한 투명색의 연질캡슐,30
30,제조일로부터 24개월,(주)한풍네이처팜,#NAME?,,,,20171205,2.01E+13,"이미, 이취가 없고 고유의 향미가 있는 밝은 회황색의 분말",31
31,제조일로부터 24개월,(주)한풍네이처팜,#NAME?,,,,20150522,2.01E+12,"이미, 이취가 없고 고유의 향미가 있는 미황색의 원형정제",32
32,제조일로부터 2년.,코스맥스바이오(주),#NAME?,,,,20180705,2.00E+14,황갈색의 내용물을 함유한 투명색의 연질캡슐,33
33,제조일로부터 24개월까지,(주)한국씨엔에스팜,#NAME?,,,,20150522,2.00E+14,갈색의 장방형 제피정제,34
34,제조일로부터 24개월,(주)한풍네이처팜,#NAME?,,,,20150522,2.01E+13,"이미, 이취가 없고 고유의 향미가 있는 적색의 제피정제",35
35,제조일로부터 24개월,(주)네추럴에프앤피,#NAME?,,,,20150522,2.00E+13,어두운 갈색 액상,36
36,제조일로부터 24개월까지,(주)한국씨엔에스팜,#NAME?,,,,20190403,2.00E+14,갈색의 타원형 정제,37
37,24개월,(주)네추럴에프앤피,#NAME?,,,,20150522,2.00E+13,흰분홍 정제,38
