,ENTRPRS,PRDUCT,REGIST_DT,STTEMNT_NO
0,코스맥스바이오(주),+프리맥,20150624,200400200021640
1,주식회사 성윤 에프엔지(F&G),6년근 고려홍삼정 PREMIUM,20150522,201100200015
2,(주)바이오그랜드,Brain Factor-7 Silk Fibroin Peptide(BF-7)(전량 수출용),20180227,2006001706819
3,에프엔바이오(주),KA-NE PLUS ZINC (수출용),20170501,20040020071298
4,(주)그린바이오,Puffing red ginseng extract powder-J,20150522,2004001703094
5,(주)네추럴에프앤피,김화란 클로렐라,20150522,20040020014500
6,주식회사 노바렉스,엽산400,20150522,20040020008480
7,주식회사 노바렉스,오메코사민,20150522,20040020008571
8,에프엔바이오(주),이지이에프비타민C(EGF VITAMIN C),20150522,20040020071141
9,(주)남양 F&B,파워 오메가-3,20150522,2008002000572
10,에프엔바이오(주),홍삼파워멀티비타민앤미네랄,20150522,2004002007174
11,엠에스바이오텍(주),홍삼프리미엄유산균,20150522,20040020020281
12,(주)일화,황작 황작고,20171013,20040015100186
13,콜마비앤에이치(주)푸디팜사업부문,힘내,20170324,200600200031078
14,(주)한풍네이처팜,'간'편함을 누리다 밀크씨슬 간 肝,20180105,20120019007223
15,코스맥스바이오(주),(fine)파인실엠I,20160519,200400200021839
16,코스맥스바이오(주),(fine)파인실엠Ⅱ,20160519,200400200021840
17,(주)서흥,(구) 눈에좋은 루테인+오메가3,20150522,20040020006811
18,(주)서흥,(구) 무르핀,20150522,20040020006948
19,(주)서흥,(구) 팻다운 톡,20160329,200400200061146
20,(주)서흥,(구)동아비타민C순(純),20160325,200400200061143
21,(주)서흥 오창공장,(구)백수오,20160905,2013002002446
22,(주)서흥 오창공장,(구)본포뮬러젤리,20150522,201300200246
23,(주)서흥,(구)점프스타트,20150522,20040020006903
24,(주)서흥,(구)츄어블오메가-3,20150522,20040020006872
25,(주)서흥,(구)트리플러스,20150522,20040020006849
26,(주)서흥,(구)프로메가 레볼루션,20160120,200400200061131
27,(주)서흥,(구)핏,20150522,20040020006905
28,(주)수진식품,(수진)고려홍삼정,20150522,200500150532
29,(주)한국씨엔에스팜,+ 눈건강,20170919,200400200071853
30,(주)한풍네이처팜,+ 뼈건강,20171205,20120019007220
31,(주)한풍네이처팜,+ 효모비오틴,20150522,2012001900781
32,코스맥스바이오(주),+간건강,20180705,200400200022197
33,(주)한국씨엔에스팜,+관절건강,20150522,200400200071272
34,(주)한풍네이처팜,+기억력,20150522,20120019007149
35,(주)네추럴에프앤피,+발효홍삼진,20150522,20040020014468
36,(주)네추럴에프앤피,+비타민미네랄,20150522,20040020014676
37,(주)뉴트리바이오텍,+에너지 비타민,20180605,200700170351134
38,(주)한국씨엔에스팜,+오메가3,20150522,20040020007783
39,(주)네추럴에프앤피,+장건강,20150522,20040020014640
40,(주)메디오젠,+착한비타민C,20170427,20040020029213
41,(주)메디오젠 충주공장,+착한비타민C,20180706,2018001217411
42,코스맥스바이오(주),+청율비백,20150522,200400200021215
43,코스맥스바이오(주),+청율비솔,20160704,200400200021860
44,(주)한국씨엔에스팜,+프로틴,20171023,200400200071867
45,코스맥스바이오(주),+홍삼젤리,20180817,200400200022225
46,(주)한국씨엔에스팜,+휴젠푸드,20150522,200400200071416
47,에스케이내추럴팜(주),100세건강 365,20170428,20040017106325
48,(주)쎌바이오텍,10종 혼합유산균2011,20150522,20040017017909
49,(주)메디오젠,10종알파혼합유산균,20150522,2004002002987
50,(주)메디오젠,10종우먼유산균,20181106,20040020029276
51,(주)메디오젠,10종혼합유산균,20150522,2004002002977
52,(주)메디오젠,10종혼합유산균 엘디(LD),20180822,20040020029255
53,(주)메디오젠,10종혼합유산균-G,20150522,20040020029103
54,(주)메디오젠,10종혼합유산균-M,20180806,20040020029252
55,(주)메디오젠,10종혼합유산균엔,20180511,20040020029239
56,(주)메디오젠,10종혼합유산균엠피(MP),20181101,20040020029274
57,(주)메디오젠,10종혼합유산균제이,20180611,20040020029245
58,(주)쎌바이오텍,11 Strain Mixture(전량수출용),20170227,20040017017974
59,네이처퓨어코리아(주),1110 리얼 가르시니아,20181018,20100019004832
60,코스맥스바이오(주),11에이엠(AM) 다이어트,20180703,200400200022196
61,(주)메디오젠,11종혼합유산균 아이(I),20151005,20040020029176
62,코스맥스바이오(주),11피엠(PM) 톡 라이트,20180703,200400200022195
63,극동에치팜(주),125건강 엠에스엠,20150623,20040020068301
64,(주)뉴트리바이오텍,12점프업,20150522,2007001703578
65,(주)쎌바이오텍,12종 혼합유산균 1,20150522,20040017017898
66,(주)씨티씨바이오,12종 혼합유산균 R,20150917,2004001705984
67,(주)쎌바이오텍,12종 혼합유산균1511,20150611,20040017017924
