,index,REGIST_DT,PRDUCT,PRSRV_PD,MAIN_FNCTN,SUNGSANG,INTAKE_HINT1,SRV_USE,STTEMNT_NO,DISTB_PD,BASE_STANDARD,ENTRPS,STDR_STND
0,1,20150624,+프리맥,"수분, 열에 의해 품질에 영향을 받을 수 있으므로 직사광선을 피해 서늘한 곳에 보관하십시오. 어린이 손에 닿지 않는 곳에 보관하십시오.",혈중 콜레스테롤 수치 개선에 도움을 줄 수 있음.,흑갈색의 내용물을 함유한 투명한 연질캡슐.,"임산부, 수유부, 청소년 및 어린이는 섭취를 피하십시오.
의약품 복용(심혈관 등), 혈액 응고장애가 있거나 수술예정인 사람은 전문가와 상담하십시오.
이상사례 발생 시 섭취를 중단하고 전문가와 상담하십시오.
본 제품은 섭취자의 신체상태에 따라 반응에 차이가 있을 수 있습니다.
임산부, 수유부, 질병으로 인해 치료중인 분은 섭취 전 고객센터나 구입처로 문의하십시오.
특정 성분에 알레르기 체질이신 분은 섭취 전에 반드시 원료(성분)를 확인하신 후 섭취하시기 바랍니다.
섭취량 및 섭취방법을 확인 한 후 섭취하시고, 기타 제품관련사항은 고객센터로 문의해 주십시오.","1일 1회, 1회 2캡슐을 충분한 물과 함께 섭취하십시오. 1일 2회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.",200400200021640,제조일로부터 2년,"1) 성상 : 고유의 색택과 향미를 가지고 이미, 이취가 없어야 한다.
2) 총 지방족 알코올 함량 : 표시량(5.4mg/1000mg)의 80~120%
3) 납(mg/kg) : 1.0 이하
4) 총비소(mg/kg) : 1.0 이하
5) 카드뮴(mg/kg) : 0.5 이하
6) 총수은(mg/kg) : 0.5 이하
7) 아세톤(g/kg) : 불검출
8) 헥산(g/kg) : 0.005 이하 
9) 대장균군 : 음성
10) 붕해시험 : 20분 이내",코스맥스바이오(주),
1,2,20150522,6년근 고려홍삼정 PREMIUM,직사광선을 피해 건조하고 서늘한 곳에서 보관한다.,①면역력 증진②피로개선③혈소판 응집 억제를 통한 혈액흐름에 도움④기억력 개선⑤항산화에 도움을 줄 수 있음,암갈색의 액상으로 고유의 색택과 향미를 가지며 이미·이취가 없어야 한다.,"[홍삼제품]의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의
2) 특이체질등 알레르기 체질의 경우 제품성분을 확인 후 섭취하시기 바랍니다.
 3) 15세 이하의 어린이는 상기 섭취량의 절반 정도를 섭취하시요.
 4) 제품 개봉 또는 섭취시에 포장재로 인한 상처를 입을수 있으니주의 하십시오.","1일 3회, 1회 1스푼(3.2g)씩  물에 녹여 섭취 하십시요.",201100200015,제조일로부터 24개월,"① 성상 : 암갈색의 액상으로 고유의 색택과 향미를 가지며 이미·이취가 없어야 한다.
② 진세노사이드 Rg1, Rb1 및 Rg3의 합 :최종제품 - 표시량(3.840㎎/9.6g)의 80% 이상
③ 세균수 : 1㎖ 당 3,000 CFU 이하
④ 대장균군 : 음성",주식회사 성윤 에프엔지(F&G),
2,3,20180227,Brain Factor-7 Silk Fibroin Peptide(BF-7)(전량 수출용),실온의 건조하고 어두운 곳에 보관,기억력 개선에 도움을 줄 수 있습니다.”(기타Ⅱ등급),엷은 갈색의 분말,① 임산부 및 수유여성은 섭취에 주의,,2006001706819,24개월,"[기준규격]
1. 성상 : 엷은 갈색의 분말
2. 티로신함량(mg/g) : 5.68~8.53
3. 알라닌함량(mg/g) : 6.70~10.05
4. 납 : 1.0 mg/kg 이하
5. 총비소 : 1.0 mg/kg 이하
6. 카드뮴 : 0.2 mg/kg 이하
7. 총수은 : 0.2 mg/kg 이하
8. 대장균군 : 음성",(주)바이오그랜드,
3,4,20190905,"CosmeHeal HEALTHY WHITE EfferGlow(수출용)？(코스메힐 헬씨 화이트, 에퍼글로우？)",습기가적고직사광선을받지않는실온에보관하십시오,①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요,"이미,이취가 없고 고유의 향미가 있는 백색의   원형정제","특이체질,알레르기체질의경우에는간혹개인에따라과민반응을나타낼수있으므로
원료를확인한후섭취하십시오.
반드시물에녹여섭취하십시오.","1일1회,1회1정씩물에녹여섭취하십시오(150~200ml)",20040020071346,24개월,"1.성상:이미,이취가 없고 고유의 향미가 있는 백색의  원형정제
2.비타민C:표시량(250mg/4,100mg)80~150%
3.대장균군:음성",에프엔바이오(주),
4,5,20170501,KA-NE PLUS ZINC (수출용),습기가 적고 직사광선을 받지 않는 실온에 보관,"①탄수화물과 에너지 대사에 필요

①체내 에너지 생성에 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①정상적인 엽산 대사에 필요

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요","이미,이취가 없고 고유의 향미가 있는 원형정제","특이체질,알레르기체질의경우에는간혹개인에따라과민반응을나타낼수있으므로
원료를확인한후섭취하십시오.
반드시물에녹여섭취하십시오.","1일 1회,1회 1정씩 120~200ml 물 또는 음료에 녹여 섭취하십시오.",20040020071298,2년,"1.성상:이미 이취가없고 고유의 향미가 있는 원형정제
2.비타민B1:표시량의(1.2mg/4,100mg)80~180%
3.나이아신:표시량의(15mgNE/4,100mg)80~150%
4.판토텐산:표시량의(2.5mg/4,100mg)80~180%
5.비타민B6:표시량의(1.5mg/4,100mg)80~150%
6.비타민B12:표시량의(2.4μg/4,100mg)80~180%
7.비타민C:표시량의(100mg/4,100mg)80~150%
8.아연:표시량의(8.0mg/4,100mg)80~150%
9.대장균군 : 음성",에프엔바이오(주),
5,6,20150522,Puffing red ginseng extract powder-J,"고온다습. 직사광선을 피하여 건냉암소 보관, 어린이의 손이 닿지 않는 곳에 보관",[홍삼(원료성)]①면역력 증진에 도움을 줄 수 있음②피로개선에 도움을 줄 수 있음③혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음④기억력 개선에 도움을 줄 수 있음⑤항산화에 도움을 줄 수 있음,황갈색의 입자상 분말,"1) 제품개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의하십시오.
2) 특정 성분에 민감한 체질인 분은 성분을 확인후에 섭취하십시오.
3) 섭취전 제품에 이상이 있는 경우에는 섭취하지 마십시오.
4) 의약품(당뇨치료제, 혈액항응고제) 복용시 섭취에 주의하십시오",건강기능식품 원료로 사용,2004001703094,36개월,"1. 성상 : 황갈색의 입자상 분말
2. 진세노사이드 Rg1, Rb1 및 Rg3의 합 : 표시량(10.5mg/g) 이상
3. 대장균군 : 음성",(주)그린바이오,
6,7,20150522,김화란 클로렐라,직사광선을 피하고 서늘한 곳에 보관 및 유통,[클로렐라 제품]1. 피부건강에 도움  2. 항산화작용,탁한 연두색의 분말,특정 성분에 알레르기 체질이신 분은 섭취 전 원료(성분)를 확인하시기 바랍니다.,"1일 1회, 1회 1포를 물 또는 우유에 타서 섭취하십시오.",20040020014500,제조일로부터  24개월,"① 성상 : 탁한 연두색의 분말
② 총엽록소 함량 : 표시량(54mg/20g)의 80~120% 
③ 납(mg/kg) : 3.0 이하
④ 카드뮴(mg/kg) : 1.0 이하
⑤ 총수은(mg/kg) : 0.5 이하
⑥ 총 페오포르바이드(mg/kg) : 1,000 이하
⑦ 대장균군 : 음성",(주)네추럴에프앤피,
7,8,20190528,네이처드림 혈행에 좋은 알티지 오메가3,고온다습한 곳이나 직사광선을 피하여 서늘한 곳에 보관.,"[EPA 및 DHA 함유유지] 혈중 중성지질 개선·혈행 개선에 도움을 줄 수 있음.
[비타민E] 유해산소로부터 세포를 보호하는데 필요","이미, 이취가 없고 고유의 향미를 지닌 연노랑색의 내용물을 함유한 투명색 연질캡슐.",알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.,"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취.",200400150831149,24개월까지,"(1) 성상 : 이미, 이취가 없고 고유의 향미를 지닌 연노랑색의 내용물을 함유한 투명색 연질캡슐.
(2) EPA와 DHA의 합 : 표시량(500 mg/900 mg)의 80%이상 120%이하
(3) 비타민E : 표시량(3.3 mgα-TE /900 mg)의 80%이상 150%이하
(4) 납(mg/kg) : 3.0 이하
(5) 카드뮴(mg/kg) : 1.0 이하
(6) 총수은(mg/kg) : 0.5 이하
(7) 대장균군 : 음성
(8) 붕해시험 : 적합",주식회사한미양행,
8,9,20150522,엽산400,개봉 후에는 습기가 적고 직사광선을 받지 않는 서늘한 곳에 보관하십시오.,①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요,엷은 미백색의 장방형 정제,"특이체질, 알러지체질인 경우는 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인 후 섭취하십시오.","1일 1회, 1회 1정을 물과 함께 섭취하십시오.",20040020008480,제조일로부터 2년,"1)성상 : 엷은 미백색의 장방형 정제
2)엽상 : 표시량(401.63mg/450mg)의 80~150%
3)대장균군 : 음성
4)붕해도 : 건강기능식품공전 III.2 붕해도 시험의 정제 시헙엉베 따라 30분내에 붕해",주식회사 노바렉스,
9,10,20150522,오메코사민,습기가 적고 직사광선을 받지 않는 서늘한 곳에 보관하십시오.,"[EPA 및 DHA 함유유지 제품]혈중 중성지질 개선 · 혈행 개선에 도움을 줄 수 있음
[글루코사민 제품] 관절 및 연골 건강에 도움을 줄 수 있음",미황색의 내용물이든 갈색 피막의 연질캡슐,"게에 알레르기를 나타내는 사람은 섭취에 주의        (게를 원재료로 사용한 경우에 한함)        새우에 알레르기를 나타내는 사람은 섭취에 주의        (새우를 원재료로 사용한 경우에 한함)
특이체질, 알러지체질인 경우는 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인 후 섭취하십시오.","1일 2회, 1회 2 캡슐을 물과 함께 섭취하십시오.",20040020008571,제조일로부터 2년,"1) 성상 : 미황색의 내용물이든 갈색피막의 연질캡슐
2) EPA와 DHA의 합 : (294mg/2000mg)의 80~120%
3) 글루코사민염산염 : 표시량(760mg/2000mg)의 80~120%
4) 중금속
(가) 납(mg/kg) : 3.0 이하
(나) 카드뮴(mg/kg) : 1.0이하
(다) 총수은(mg/kg) : 0.5이하
5) 대장균군 : 음성
6) 붕해 :  물에서 20분 이내",주식회사 노바렉스,
